epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,726.05,1.1687,0.78099,1.18857,0.46772,0.3913,0.36815,0.18599,1.91307,2.11361,1.97518,0.000297226,0.000297226,0.000297226
85,734.059,1.18146,0.80116,1.21538,0.5979,0.30435,0.33954,0.18273,2.02133,2.10103,1.99108,0.000280723,0.000280723,0.000280723
86,742.578,1.17839,0.7774,1.19125,0.54856,0.27536,0.31206,0.16518,1.93858,1.99707,1.99719,0.00026422,0.00026422,0.00026422
87,751.403,1.18698,0.76419,1.18203,0.53405,0.28986,0.30843,0.15804,2.03374,2.07792,2.05613,0.000247716,0.000247716,0.000247716
88,760.435,1.1659,0.75543,1.17569,0.59979,0.30435,0.33761,0.16209,2.11597,2.02526,2.14626,0.000231213,0.000231213,0.000231213
89,769.166,1.14824,0.75654,1.17515,0.37181,0.37681,0.34939,0.17304,1.99958,1.91735,2.05295,0.00021471,0.00021471,0.00021471
90,777.37,1.16613,0.76204,1.17117,0.48815,0.31884,0.33529,0.16741,2.05323,2.09523,2.05617,0.000198206,0.000198206,0.000198206
91,815.155,1.19227,0.80925,1.20124,0.52093,0.36247,0.35056,0.18312,2.00452,1.95496,2.01652,0.000181703,0.000181703,0.000181703
92,823.393,1.09457,0.71501,1.16571,0.44565,0.30296,0.32925,0.18229,1.99425,1.90787,2.08339,0.0001652,0.0001652,0.0001652
93,831.537,1.09464,0.66725,1.17008,0.4656,0.34783,0.35932,0.19053,1.99166,1.96279,2.03323,0.000148696,0.000148696,0.000148696
94,839.612,1.07441,0.65503,1.14344,0.46132,0.33333,0.33579,0.16311,2.07995,2.21267,2.13211,0.000132193,0.000132193,0.000132193
95,847.909,1.04471,0.66387,1.12503,0.50904,0.33333,0.34172,0.16938,2.05082,2.2333,2.07318,0.00011569,0.00011569,0.00011569
96,857.949,1.04709,0.63918,1.12506,0.43565,0.37681,0.34011,0.16959,2.04674,2.10517,2.12752,9.91865e-05,9.91865e-05,9.91865e-05
97,867.69,1.01386,0.63532,1.10663,0.47491,0.35398,0.34357,0.19268,1.94882,2.00144,1.99613,8.26832e-05,8.26832e-05,8.26832e-05
98,876.129,1.02822,0.6342,1.12324,0.4345,0.36232,0.32784,0.18112,1.98683,2.03834,2.05513,6.61799e-05,6.61799e-05,6.61799e-05
99,884.203,1.01709,0.62332,1.11085,0.47107,0.36142,0.34296,0.18361,1.95148,2.03527,2.03666,4.96766e-05,4.96766e-05,4.96766e-05
100,892.642,0.98296,0.62191,1.09729,0.46327,0.37681,0.34572,0.18389,1.94884,2.0704,2.03361,3.31733e-05,3.31733e-05,3.31733e-05
